num_connectors,power_kw,charger_type,time_of_day,day_of_week,traffic_factor,population_density,popularity,occupancy_rate,weather_rain,waiting_time_minutes
2,22,0,21,3,1.4921692483391964,0.39228016307883773,1,0.8507874385187445,1,4.253545163801912
8,22,0,1,2,1.2414576392664691,0.11140038454796736,4,0.6683008907674289,0,3.0
4,11,0,3,6,0.7,0.36991576771695045,5,0.23284893964303954,0,3.0
4,50,1,12,6,1.3708733567762985,0.12861940231391367,5,0.8612173719181189,0,1.7630412759389633
2,50,1,12,2,0.8319237466845043,0.2905747113746032,4,0.3695422347806886,1,1.0
2,150,1,22,6,1.3647931901684967,0.04686288326318843,1,0.9150202625031976,0,1.5155034403216763
1,11,0,21,4,1.3753794995595414,0.22350258966012837,3,0.5122662950013819,0,3.2502558551071425
6,50,1,22,6,1.232473149345302,0.38570328533411485,2,0.7866113275351507,0,1.5306996864278095
4,150,1,16,6,1.2859202247191734,0.402308986725826,1,0.6119536780183382,0,1.635593765521263
4,150,1,5,5,1.4247176969609967,0.642060804763531,3,0.29138244814984393,1,1.0
1,150,1,10,1,1.0260930815473182,0.29746876203602823,4,0.6538201311556961,1,1.328094346162171
8,150,1,18,1,1.3483574149256194,0.22669577953347902,2,0.009566329030054277,1,1.0
6,350,1,15,2,1.440755825739259,0.5331636172992437,1,0.8352020600648257,0,1.0
2,22,0,7,0,1.5900206493846194,0.09126588045711137,4,0.9658303226141254,1,4.349072598261788
2,50,1,0,4,0.8735549284850741,0.06295802949351471,2,0.20704459950223086,1,1.0
2,11,0,9,5,1.252129016246942,0.2738487705089633,4,0.8836367145033438,1,5.441236726076684
2,11,0,1,5,0.9096277002346338,0.11329735412384404,5,0.16783535149916406,1,3.4331143883756057
4,22,0,18,2,0.8990194955746255,0.06472481405302105,5,0.4914815558216944,1,3.0
2,11,0,13,0,1.239756943101495,0.06022100300562225,3,0.2925976315327137,0,3.0
2,22,0,2,0,1.1693639536990346,0.08251904781364039,2,0.19183517403289507,1,3.0
4,11,0,22,5,1.4362503696304962,0.1423145063948389,5,0.7556873954140674,0,4.372734744666095
1,11,0,23,4,1.0634558876014477,0.3587600510705189,4,0.8066029196714805,1,4.326575860395583
2,350,1,8,1,1.116487140950747,0.189710998119467,3,0.8386172001880954,0,1.0
2,11,0,22,5,1.202876065584546,0.18787001598576658,5,0.008479558411211285,0,3.0
2,150,1,7,6,0.9345427871408859,0.17512755436945082,3,0.8478420413938119,0,1.0682903169726166
6,11,0,10,5,0.9692325387460172,0.141985031916892,2,0.0514526751646055,1,3.0
2,350,1,14,6,1.429024666443138,0.4100450892676312,5,0.44841573312075955,0,1.0
4,150,1,5,3,1.0127612396797228,0.33495345866550436,5,0.17528230548809742,0,1.0
4,150,1,1,0,1.4456191416124213,0.10319582236986813,1,0.9067148783089897,0,1.0
1,150,1,0,3,1.3018281451670735,0.41537627631379637,1,0.5767189552830261,0,1.0
4,11,0,2,3,0.763117243627766,0.20742127026832025,2,0.4684550639740259,0,3.0
2,350,1,22,4,1.2825946729594468,0.15897065696747403,2,0.4441774470595946,0,1.0
1,150,1,17,5,1.2806199557735316,0.06245124516423273,1,0.40443961693594777,0,1.0
8,150,1,13,1,1.2557321521278213,0.12695286854546212,5,0.4739306066603528,1,1.0
8,150,1,16,6,1.1145308184042473,0.23091466207273295,3,0.5656255212516231,0,1.0
6,22,0,1,6,0.914983136152037,0.7390711485855547,2,0.8170686704801373,0,4.896045738280657
2,150,1,18,4,1.486553191528155,0.49961736103143906,1,0.23768188689238978,0,1.0
1,22,0,21,0,1.124605102819291,0.10594222664382455,3,0.8043742851330438,0,3.0
4,50,1,8,1,0.9291484599161579,0.3306452652619766,1,0.8304850342941134,0,1.1075521389386853
2,11,0,7,5,1.264367171522002,0.17263714952118953,4,0.8512535542669999,0,4.4148594777969805
1,350,1,9,2,0.9643050073166856,0.2738669452200272,5,0.9415699935517194,0,1.0
2,11,0,8,1,0.9127284929287196,0.5071047092225768,3,0.9565865353493178,0,4.610795161227897
1,22,0,7,6,1.05613184694939,0.3399720764747482,1,0.10792513538735227,0,3.0
8,50,1,6,4,0.9836505589204813,0.39170345746222535,3,0.8777110259271528,0,1.0
2,150,1,21,4,0.9219394370038563,0.11998532643126462,4,0.845466477663845,1,1.0
4,50,1,23,3,1.3516029405654397,0.401187397807018,4,0.37740532541276595,0,1.0
2,22,0,5,5,1.1215430463844,0.263983387376629,5,0.6913558272034253,0,3.029137441402921
4,11,0,1,2,1.463069986378973,0.22012977260087943,1,0.9267079104432099,0,3.6708051724386848
4,150,1,8,5,0.9363726305675161,0.19821142916277304,1,0.09133491211724032,1,1.0
2,350,1,8,1,0.718109740590916,0.11878564851634918,1,0.3545203755736561,1,1.0
8,150,1,18,2,1.1871925873123539,0.23888136728815274,2,0.9740082820112104,0,1.6182455993397875
6,50,1,8,5,1.6139947304516038,0.2983366529030104,5,0.5481830845041847,0,1.0
8,350,1,1,3,1.2827467073405003,0.13250528340684609,4,0.09177175185647268,0,1.0
6,50,1,18,2,1.953843549053208,0.2874933504241214,5,0.9610376434007619,0,2.5550690596107275
4,50,1,15,2,1.2330147802372722,0.34844721789442507,2,0.9027396586927843,1,1.783473789656765
8,50,1,21,1,1.2088880528220225,0.3389505698090977,1,0.8064308408365757,0,1.0
1,50,1,13,2,0.7,0.23236348889270866,4,0.7935717160416531,1,1.246654423072495
2,150,1,19,3,1.256986860147132,0.3848205193889489,1,0.48596038460427804,0,1.0
1,50,1,23,0,1.1921669400048227,0.5881438024037371,2,0.875247209043913,0,2.460988938913478
2,22,0,0,0,1.0481447004488658,0.24469864241065634,2,0.30569159528625944,1,3.0
2,22,0,12,4,1.1158052832352323,0.6113172541134468,1,0.35857735312021355,0,3.0
2,11,0,21,0,1.132974856414455,0.1427600172931833,1,0.21601449968553033,0,3.0
6,50,1,1,1,1.105017711766984,0.5831184589485576,3,0.4031287747209952,0,1.0
2,22,0,21,4,1.6724287407814902,0.38449499123114556,4,0.2336494251068042,0,3.0
2,11,0,13,0,1.0572844930487477,0.20373902518274167,4,0.3398255549608731,0,3.0
4,150,1,0,0,1.1923284309634643,0.15140153645658333,5,0.6903777976650377,0,1.0
1,150,1,14,4,1.0490247291534482,0.3260625147082958,5,0.43010029649672354,0,1.0
6,150,1,17,1,1.34585779666097,0.0716497723837402,2,0.7676595596182559,0,1.0
1,50,1,8,4,1.1941909249930516,0.2347575002548948,4,0.4790022547741315,1,1.0
12,150,1,21,6,1.0800223567073794,0.16846437169159528,2,0.1392242673087415,0,1.0
6,350,1,7,6,0.7,0.12118978485825677,1,0.7420965313635524,1,1.0
2,150,1,6,1,1.2108270563221875,0.5620453845080473,4,0.06592976952313478,0,1.0
1,50,1,8,1,1.0726059316050622,0.23060066539494523,2,0.9424424356719939,0,2.0210166068519815
6,22,0,8,5,1.1348148357782246,0.5040197006526206,3,0.8409892956367796,0,4.409267709422464
4,350,1,10,3,0.8543855131886666,0.07217492798090147,3,0.9630937558132879,1,1.0
4,22,0,3,0,1.5083205431800488,0.12905656799299578,4,0.24865208477782297,1,3.0
6,22,0,6,5,1.364185793960968,0.2871363982613254,4,0.4812258874263884,0,3.411514040689431
1,50,1,20,0,1.507676499410158,0.37518387058329344,5,0.1930438112626337,0,1.0
2,11,0,6,5,1.4367448251952384,0.147537588525289,4,0.4224669631496474,0,3.2099499889509358
1,350,1,3,2,1.2980793255318652,0.07811739210623256,5,0.2436888666638145,0,1.0
6,50,1,11,6,0.8644293728183892,0.6786464033364082,3,0.8527677666902133,0,2.041256255845003
4,50,1,16,4,1.6108467910179645,0.04176325140713073,3,0.12158167626334215,0,1.0
2,150,1,19,5,0.9180912122781223,0.4681895510574342,3,0.22509477873418038,0,1.0
1,50,1,2,6,1.0828980939812596,0.06594679157105844,1,0.2640792398542209,1,1.0
2,11,0,8,3,1.32672557015673,0.4807443027574789,4,0.7381897562893156,1,3.8223552797801372
2,50,1,4,0,1.339135196796851,0.3904965311884141,3,0.6303716485421275,0,1.4121501588536056
4,150,1,19,2,1.2930591817361394,0.2825617377631664,5,0.13626467809397746,0,1.0
4,50,1,15,3,1.0499278796677274,0.2845358579687383,5,0.6056450274603773,1,1.0
6,150,1,7,1,0.9982670931611313,0.6053006037315393,2,0.8464308448656085,0,1.0
2,22,0,20,0,1.7836331421515341,0.4714562571957534,2,0.4522237707633773,1,5.10640990834254
1,22,0,15,6,1.1401715153750416,0.2016864584439248,1,0.6118320339235768,0,3.414184207954671
4,11,0,18,5,1.1095571538402909,0.6245656340832975,5,0.5319745643170127,0,5.53584689624812
6,22,0,15,4,0.9716108772653116,0.1588117719636231,2,0.35781933595385274,0,3.0
4,150,1,17,3,1.2111675872677394,0.03511698829252336,4,0.0025729813890916775,0,1.0
6,150,1,14,6,1.1995057001445175,0.2594360543727758,4,0.18629412604797269,0,1.0
2,22,0,23,2,1.145943447823926,0.07449060159839375,4,0.9471605868976154,0,3.0
4,50,1,17,4,1.2454316616969714,0.4495684436369672,4,0.3546459839789816,0,1.4429767792236747
2,150,1,13,1,1.5908843756105884,0.5422077057058832,2,0.29712438055572077,0,1.0
1,22,0,23,4,1.0012368234272753,0.15759111007251977,1,0.6138999848163095,1,3.427283805818738
1,11,0,15,6,1.16077093555053,0.14806324174135718,2,0.9037965369497,0,4.748868325866093
1,350,1,4,6,0.9880378868623609,0.2517248438738444,4,0.3024620458913434,1,1.0
4,50,1,7,2,1.2236745902064068,0.19207768630106475,3,0.22308914133182234,0,1.0
2,350,1,15,1,1.0078826246563952,0.38943120778613777,4,0.9019625525285835,1,1.0
4,22,0,20,2,1.0186392521414525,0.3879161259109058,1,0.7735062366900002,0,4.25516849351249
8,150,1,0,6,0.7851191564860934,0.015703036314197477,5,0.7025953435544899,0,1.0
2,22,0,10,0,1.1744486957049185,0.22705529589354775,5,0.5571918991176252,0,3.0767831786673865
2,22,0,10,2,1.2574424054762443,0.0803783729107394,4,0.42555384172265187,0,3.0
6,50,1,1,4,1.6151190882980737,0.11986688248460131,1,0.6378518884974133,1,1.0
2,22,0,21,6,1.2673756202974613,0.5382561163230594,2,0.21690877706573886,1,3.293935850812592
1,11,0,18,0,1.03757896917567,0.46134295365929556,1,0.8173550495713032,0,5.1080814771138785
2,22,0,23,0,0.8100802280784775,0.2060027814917432,4,0.41639561193261365,1,3.0
2,11,0,4,3,0.8446782485836304,0.38383752615528893,2,0.7547401169298559,0,3.853494755325438
8,150,1,2,4,0.8260929151320069,0.2657475399369607,5,0.8116839640289986,0,1.0
6,50,1,22,4,1.6195105088623452,0.2867423909409137,4,0.07532885898046426,1,1.0
4,11,0,7,1,1.2219526242315923,0.1381596018537966,5,0.675450057775794,0,3.0
6,11,0,3,2,1.0042584451845267,0.18373172087155487,4,0.3027521340709757,0,3.0
6,11,0,12,5,0.9100350987116839,0.11904582811134877,2,0.3587951889851425,1,3.0
2,50,1,21,2,0.9359730399015195,0.4026753301593116,1,0.7334400260948784,0,1.0
6,11,0,13,4,0.9976751513734052,0.49894933608260217,5,0.9573981096166682,0,4.718206487568359
4,150,1,0,2,1.479063804063788,0.10605625026808903,2,0.8036640817995475,0,1.0
6,11,0,4,4,1.1425141382355626,0.23161048927109007,5,0.2916969266478642,1,3.0
6,22,0,20,6,0.7881333956815126,0.09023451070001871,3,0.7078486151144241,0,3.7259550942921194
2,150,1,6,0,1.7276148186825928,0.37457836929465804,2,0.3277541934117606,0,1.0
1,150,1,22,2,0.8649597151585255,0.22571970405518788,2,0.43959325591009624,0,1.0
2,11,0,5,6,1.002291172519033,0.2344458819800697,1,0.12305349957550638,0,3.0
2,150,1,14,2,1.4775360969084703,0.3867036581077154,1,0.834290465073119,0,1.1979578047465913
6,50,1,14,4,1.2537874081522666,0.4353711053700704,4,0.6468990436905208,0,1.3137823474768227
6,150,1,7,6,1.0325192500939475,0.4494736034743751,1,0.8629667737796475,1,2.035318151748375
1,50,1,1,4,0.8421582684765412,0.7700852819551038,4,0.22350763057248124,0,1.0
4,150,1,13,1,0.9083274727687433,0.5588724148632275,1,0.1293297976583826,0,1.0
2,350,1,15,2,0.9233759702308835,0.43892982385926566,1,0.8154549487621383,0,1.0
2,22,0,22,3,1.1517579494623873,0.49366563351320003,4,0.8789766544160785,1,4.552367754389214
1,50,1,9,4,1.1977654543203258,0.3887161528056854,3,0.17192669827982698,0,1.0
2,50,1,14,3,1.1128363428421644,0.12375660377053803,2,0.6418976407911443,1,1.2426740570762433
8,11,0,22,0,1.1401965465189177,0.5138813942078893,4,0.16506304507958758,0,3.0
2,11,0,3,0,0.8873192012014196,0.29862604755896144,3,0.014538614142830641,0,3.0
4,11,0,11,3,1.2232840265559721,0.19580098259457915,1,0.5423304994242842,0,3.1124886451285114
4,50,1,9,5,1.470129659209249,0.2803157962411535,4,0.9503233674024955,0,1.7019761363211021
2,50,1,1,0,1.1093020795626078,0.5062027094763201,3,0.5904939873231589,0,1.0
12,50,1,3,3,1.1044283233926315,0.5387403204970294,3,0.4291283850696235,0,1.0
8,11,0,19,1,1.170750263013212,0.31491363585194354,2,0.2820517048812281,1,3.4466118617433286
2,50,1,5,1,1.4295512149398477,0.2714112623466829,1,0.2814788320754392,1,1.0
2,350,1,13,0,0.9263192501403398,0.39917402685443515,5,0.26307815677442825,1,1.0
2,22,0,22,6,1.5127118339330339,0.585319365591221,3,0.2091631817824524,0,3.0944864112047
2,50,1,2,3,1.2553055598588094,0.2664180829050186,4,0.06652942377772098,1,1.0
1,150,1,14,3,1.1571701739247169,0.5243976996617896,1,0.757084069460451,1,1.4336555004039222
4,150,1,0,3,1.4533097091660798,0.23180366925364235,5,0.3153565745310909,0,1.0
4,50,1,18,5,0.854484481530886,0.5069768321378072,5,0.1560631519147747,1,1.632241297825454
1,150,1,0,0,1.280511384061177,0.2069872571957052,5,0.6041978913221113,1,1.0
2,22,0,12,5,1.2575773911266543,0.11239884016493006,3,0.934356892837156,0,4.318887972845031
8,150,1,7,3,0.9161362339015517,0.1286184317037993,2,0.6884874299672733,0,1.0
2,22,0,17,4,1.265159530738455,0.1375808212574868,5,0.19179814298321973,0,3.0
1,22,0,21,3,1.2208262948451214,0.21211977007236016,5,0.4141232941535111,1,3.0
2,11,0,2,4,1.1053154700775163,0.24492349972222877,4,0.825162381554018,0,4.629784390706384
12,150,1,22,1,1.365704388807583,0.16624801635929853,5,0.050641441142151744,0,1.0
